ID,FECHA,A,M,D,H,COMUNA,LONGITUD,LATITUD,TIPO_CALLE,ACUSADO,VICTIMA,FATAL
2016-0001,2016-01-01,2016,1,1,4,8,-58.47533969,-34.68757022,AVENIDA,AUTO,MOTO,1
2016-0002,2016-01-02,2016,1,2,1,9,-58.50877521,-34.66977709,GRAL PAZ,PASAJEROS,AUTO,1
2016-0003,2016-01-03,2016,1,3,7,1,-58.39040293,-34.63189362,AVENIDA,AUTO,MOTO,1
2016-0004,2016-01-10,2016,1,10,0,8,-58.46503904,-34.68092974,AVENIDA,SD,MOTO,1
2016-0005,2016-01-21,2016,1,21,5,1,-58.38718297,-34.62246630,AVENIDA,PASAJEROS,MOTO,1
2016-0008,2016-01-24,2016,1,24,18,8,-58.44451316,-34.68475866,AVENIDA,OBJETO FIJO,MOTO,1
2016-0009,2016-01-24,2016,1,24,19,11,-58.50095869,-34.60825440,CALLE,AUTO,MOTO,1
2016-0010,2016-01-29,2016,1,29,15,9,-58.50877521,-34.66977709,GRAL PAZ,AUTO,MOTO,1
2016-0012,2016-02-08,2016,2,8,1,1,-58.38048577,-34.61303893,AVENIDA,CARGAS,MOTO,1
2016-0013,2016-02-10,2016,2,10,11,1,-58.39114932,-34.62477387,AVENIDA,AUTO,PEATON,1
2016-0015,2016-02-14,2016,2,14,5,15,-58.43760020,-34.59912758,AVENIDA,AUTO,PEATON,1
2016-0016,2016-02-14,2016,2,14,22,4,-58.36882665,-34.64291993,AVENIDA,AUTO,MOTO,1
2016-0017,2016-02-15,2016,2,15,16,8,-58.44989671,-34.65970435,AVENIDA,MOTO,PEATON,1
2016-0019,2016-02-17,2016,2,17,9,9,-58.50990884,-34.65468721,CALLE,PASAJEROS,PEATON,1
2016-0020,2016-02-17,2016,2,17,16,1,-58.37952223,-34.60653282,CALLE,AUTO,PEATON,1
2016-0021,2016-02-17,2016,2,17,23,7,-58.45157703,-34.63063795,AVENIDA,AUTO,AUTO,1
2016-0022,2016-02-21,2016,2,21,6,1,-58.38144696,-34.61079875,AVENIDA,AUTO,MOTO,1
2016-0025,2016-02-28,2016,2,28,4,8,-58.46244952,-34.70524971,GRAL PAZ,AUTO,AUTO,1
2016-0026,2016-02-28,2016,2,28,7,12,-58.49216191,-34.54738649,CALLE,OBJETO FIJO,AUTO,1
2016-0027,2016-02-28,2016,2,28,9,7,-58.44497874,-34.63852623,AVENIDA,AUTO,AUTO,1
2016-0028,2016-03-02,2016,3,2,10,1,-58.38199706,-34.60028648,AVENIDA,CARGAS,PEATON,1
2016-0029,2016-03-04,2016,3,4,17,12,-58.47378664,-34.54153077,AVENIDA,PASAJEROS,PEATON,1
2016-0031,2016-03-08,2016,3,8,12,8,-58.47064556,-34.69843756,GRAL PAZ,PASAJEROS,MOTO,1
2016-0034,2016-03-12,2016,3,12,12,4,-58.40623949,-34.65076549,AVENIDA,PASAJEROS,PEATON,1
2016-0035,2016-03-13,2016,3,13,6,3,-58.39228965,-34.60443527,AVENIDA,PASAJEROS,MOTO,1
2016-0036,2016-03-14,2016,3,14,0,4,-58.37813396,-34.63668504,CALLE,PASAJEROS,MOTO,1
2016-0037,2016-03-19,2016,3,19,11,7,-58.46275892,-34.64358293,AVENIDA,MOTO,MOTO,1
2016-0038,2016-03-21,2016,3,21,8,8,-58.49683458,-34.67892743,GRAL PAZ,PASAJEROS,PEATON,1
2016-0039,2016-03-23,2016,3,23,1,3,-58.40603217,-34.60883960,AVENIDA,PASAJEROS,MOTO,1
2016-0041,2016-03-29,2016,3,29,11,7,-58.46076550,-34.63350444,AVENIDA,CARGAS,MOTO,1
2016-0041,2016-03-29,2016,3,29,11,7,-58.46076550,-34.63350444,AVENIDA,CARGAS,MOTO,1
2016-0043,2016-03-30,2016,3,30,18,8,-58.47832463,-34.67494416,AVENIDA,CARGAS,PEATON,1
2016-0044,2016-03-31,2016,3,31,19,7,-58.43213235,-34.63693953,AVENIDA,MULTIPLE,MOTO,1
2016-0045,2016-04-11,2016,4,11,10,13,-58.46743471,-34.53476874,GRAL PAZ,SD,MOTO,1
2016-0047,2016-04-15,2016,4,15,5,1,-58.38247061,-34.62571878,CALLE,PASAJEROS,PEATON,1
2016-0048,2016-04-15,2016,4,15,17,15,-58.44759966,-34.59170240,AVENIDA,PASAJEROS,PEATON,1
2016-0049,2016-04-17,2016,4,17,0,4,-58.37714647568196,-34.63657525428238,AUTOPISTA,SD,SD,1
2016-0050,2016-04-19,2016,4,19,9,8,-58.47305463,-34.68550712,AVENIDA,PASAJEROS,PEATON,1
2016-0051,2016-04-20,2016,4,20,4,4,-58.40623949,-34.65076549,AVENIDA,CARGAS,MOTO,1
2016-0052,2016-04-20,2016,4,20,20,13,.,.,AUTOPISTA,SD,MOTO,1
2016-0053,2016-04-22,2016,4,22,9,12,-58.48429180,-34.57558053,AVENIDA,PASAJEROS,PEATON,1
2016-0054,2016-04-23,2016,4,23,21,8,-58.48695354,-34.68795245,AUTOPISTA,MOTO,MOTO,1
2016-0055,2016-04-25,2016,4,25,20,14,-58.40021959,-34.57964781,AVENIDA,CARGAS,PEATON,1
2016-0056,2016-04-26,2016,4,26,4,14,-58.42957885,-34.57660058,AVENIDA,OBJETO FIJO,MOTO,1
2016-0058,2016-05-04,2016,5,4,14,1,-58.38247542,-34.62556293,CALLE,MOTO,PEATON,1
2016-0059,2016-05-08,2016,5,8,16,1,-58.38222219,-34.62728101,CALLE,PASAJEROS,PEATON,1
2016-0064,2016-05-14,2016,5,14,18,10,-58.49485242,-34.62953445,AVENIDA,PASAJEROS,PEATON,1
2016-0065,2016-05-20,2016,5,20,14,6,-58.45227946,-34.61068024,AVENIDA,AUTO,PEATON,1
2016-0067,2016-05-21,2016,5,21,17,8,-58.48455411,-34.67512760,AVENIDA,PASAJEROS,MOTO,1
2016-0068,2016-05-22,2016,5,22,22,2,-58.39056593,-34.58418569,AVENIDA,PASAJEROS,MOTO,1
2016-0069,2016-05-23,2016,5,23,3,3,-58.39118948,-34.62704273,AVENIDA,CARGAS,AUTO,1
2016-0073,2016-06-11,2016,6,11,15,10,-58.49021952,-34.62025108,CALLE,CARGAS,MOTO,1
2016-0074,2016-06-12,2016,6,12,6,8,-58.49896559,-34.67732118,GRAL PAZ,AUTO,AUTO,1
2016-0075,2016-06-12,2016,6,12,23,8,-58.47461076,-34.66874679,AUTOPISTA,AUTO,PEATON,1
2016-0076,2016-06-13,2016,6,13,16,15,-58.46210891,-34.60356211,AVENIDA,PASAJEROS,PEATON,1
2016-0077,2016-06-13,2016,6,13,21,1,-58.37027770,-34.60536123,AVENIDA,PASAJEROS,PEATON,1
2016-0078,2016-06-13,2016,6,13,23,3,-58.40491455,-34.61463830,AVENIDA,MOTO,MOTO,1
2016-0079,2016-06-16,2016,6,16,17,13,-58.45504154,-34.54864492,AVENIDA,AUTO,AUTO,1
2016-0080,2016-06-18,2016,6,18,6,9,-58.52927982,-34.63931752,GRAL PAZ,SD,AUTO,1
2016-0081,2016-06-22,2016,6,22,7,12,-58.48721060,-34.55904606,AVENIDA,AUTO,MOTO,1
2016-0082,2016-06-27,2016,6,27,18,4,-58.42273092,-34.64228803,AVENIDA,AUTO,PEATON,1
2016-0083,2016-06-28,2016,6,28,20,6,-58.44788671,-34.62539009,AVENIDA,MOTO,PEATON,1
2016-0084,2016-06-29,2016,6,29,22,1,-58.38110563,-34.60135531,CALLE,PASAJEROS,PEATON,1
2016-0085,2016-06-29,2016,6,29,22,4,-58.42378834,-34.65734100,AVENIDA,OTRO,MOTO,1
2016-0086,2016-06-30,2016,6,30,16,10,-58.48727942,-34.63652467,AVENIDA,PASAJEROS,PEATON,1
2016-0087,2016-07-02,2016,7,3,0,1,-58.37864583,-34.62907067,AUTOPISTA,OBJETO FIJO,MOTO,1
2016-0088,2016-07-11,2016,7,11,15,12,-58.50151750,-34.56767549,CALLE,AUTO,PEATON,1
2016-0089,2016-07-14,2016,7,14,6,13,-58.43233425,-34.55185825,AUTOPISTA,AUTO,PEATON,1
2016-0090,2016-07-14,2016,7,14,22,5,-58.41971993,-34.61112240,AVENIDA,PASAJEROS,PEATON,1
2016-0092,2016-07-15,2016,7,15,11,13,-58.46743471,-34.53476874,GRAL PAZ,CARGAS,MOTO,1
2016-0093,2016-07-17,2016,7,17,3,6,-58.44362126,-34.62301748,AVENIDA,AUTO,AUTO,1
2016-0095,2016-07-23,2016,7,23,6,11,-58.51713095,-34.59546519,AVENIDA,AUTO,MOTO,1
2016-0096,2016-07-25,2016,7,25,7,8,-58.47433193007387,-34.66684950051973,AUTOPISTA,CARGAS,MOTO,1
2016-0097,2016-07-26,2016,7,26,18,1,-58.39038605,-34.61562810,CALLE,AUTO,PEATON,1
2016-0098,2016-07-27,2016,7,27,16,3,-58.40042405,-34.62356174,AVENIDA,CARGAS,MOTO,1
2016-0099,2016-07-29,2016,7,29,16,11,-58.52340614,-34.59798754,GRAL PAZ,CARGAS,CARGAS,1
2016-0100,2016-08-03,2016,8,3,23,12,-58.49491054,-34.54795581,GRAL PAZ,OBJETO FIJO,MOTO,1
2016-0101,2016-08-07,2016,8,7,19,9,-58.52932872,-34.65014993,GRAL PAZ,SD,SD,1
2016-0102,2016-08-10,2016,8,10,23,9,-58.50011639,-34.67316502,AVENIDA,CARGAS,MOTO,1
2016-0104,2016-08-14,2016,8,14,21,9,-58.46635001,-34.65624369,AVENIDA,PASAJEROS,MOTO,1
2016-0105,2016-08-17,2016,8,17,0,15,-58.45343236,-34.58435809,AVENIDA,PASAJEROS,PEATON,1
2016-0106,2016-08-19,2016,8,19,21,1,-58.38090932,-34.58927731,AVENIDA,PASAJEROS,PEATON,1
2016-0107,2016-08-20,2016,8,20,8,4,-58.37157668,-34.65429986,AUTOPISTA,AUTO,MOTO,1
2016-0109,2016-08-24,2016,8,24,5,9,-58.52280139,-34.63659934,AUTOPISTA,OBJETO FIJO,AUTO,1
2016-0110,2016-08-24,2016,8,24,20,9,-58.51232237,-34.65903530,AVENIDA,SD,PEATON,1
2016-0111,2016-08-25,2016,8,25,9,15,-58.47461905,-34.57663634,AUTOPISTA,CARGAS,MOTO,1
2016-0112,2016-08-27,2016,8,27,4,1,-58.38268809,-34.62282019,AUTOPISTA,OBJETO FIJO,MOTO,1
2016-0113,2016-08-27,2016,8,27,16,9,-58.49603546,-34.64564271,AVENIDA,PASAJEROS,PEATON,1
2016-0114,2016-08-31,2016,8,31,11,14,-58.41848605,-34.59394733,CALLE,CARGAS,BICICLETA,1
2016-0115,2016-09-02,2016,9,2,11,12,-58.48935041,-34.54917673,CALLE,CARGAS,SD,1
2016-0116,2016-09-02,2016,9,2,20,8,-58.44451316,-34.68475866,AVENIDA,AUTO,MOTO,1
2016-0117,2016-09-03,2016,9,3,15,14,-58.39936478,-34.58271474,AVENIDA,AUTO,AUTO,1
2016-0118,2016-09-04,2016,9,4,3,1,-58.37936704,-34.62694503,AUTOPISTA,AUTO,AUTO,1
2016-0119,2016-09-04,2016,9,4,6,12,-58.49659234,-34.56353635,AVENIDA,SD,SD,1
2016-0122,2016-09-13,2016,9,13,7,9,-58.47256391,-34.65194557,AVENIDA,PASAJEROS,BICICLETA,1
2016-0123,2016-09-14,2016,9,14,9,7,-58.45130953,-34.64053676,AVENIDA,AUTO,MOTO,1
2016-0124,2016-09-16,2016,9,16,15,7,-58.46271207,-34.62884871,AVENIDA,PASAJEROS,PEATON,1
2016-0125,2016-09-17,2016,9,17,12,10,-58.49020869,-34.64243791,AUTOPISTA,MOTO,MOTO,1
2016-0126,2016-09-18,2016,9,18,22,10,-58.52572109,-34.62125906,CALLE,CARGAS,AUTO,1
2016-0126,2016-09-18,2016,9,18,22,10,-58.52572109,-34.62125906,CALLE,CARGAS,AUTO,1
2016-0127,2016-09-24,2016,9,24,10,8,-58.44094791,-34.66677111,AVENIDA,PASAJEROS,PEATON,1
2016-0128,2016-10-02,2016,10,2,11,5,-58.41914024,-34.63053890,AVENIDA,PASAJEROS,PEATON,1
2016-0130,2016-10-04,2016,10,4,12,1,-58.37910942,-34.62764717,AUTOPISTA,CARGAS,MOTO,1
2016-0131,2016-10-09,2016,10,9,19,4,-58.39871183,-34.64539318,CALLE,AUTO,PEATON,1
2016-0132,2016-10-10,2016,10,10,2,3,-58.41036975,-34.62477021,AVENIDA,PASAJEROS,AUTO,1
2016-0133,2016-10-14,2016,10,14,0,14,-58.40204698,-34.58342690,AVENIDA,AUTO,MOTO,1
2016-0134,2016-10-23,2016,10,23,5,8,-58.48935287,-34.67648597,AVENIDA,OBJETO FIJO,MOTO,1
2016-0135,2016-10-24,2016,10,24,5,14,-58.42260225,-34.56403694,AVENIDA,SD,PEATON,1
2016-0136,2016-10-25,2016,10,25,0,4,.,.,AUTOPISTA,CARGAS,MOTO,1
2016-0137,2016-10-25,2016,10,25,0,11,-58.51537091,-34.59035925,AVENIDA,MOTO,MOTO,1
2016-0138,2016-10-27,2016,10,27,20,13,-58.45909670,-34.55922742,AVENIDA,CARGAS,BICICLETA,1
2016-0139,2016-10-28,2016,10,28,23,14,-58.42008769,-34.56539579,AVENIDA,MOTO,MOTO,1
2016-0140,2016-10-31,2016,10,31,2,13,-58.45566399,-34.56147293,AVENIDA,PASAJEROS,PASAJEROS,1
2016-0142,2016-11-05,2016,11,5,23,1,-58.37533517,-34.59276462,AVENIDA,PASAJEROS,MOTO,1
2016-0143,2016-11-06,2016,11,6,4,8,-58.44451316,-34.68475866,AVENIDA,SD,MOTO,1
2016-0144,2016-11-07,2016,11,7,12,4,-58.35975012,-34.63343907,AVENIDA,PASAJEROS,PEATON,1
2016-0145,2016-11-07,2016,11,7,20,13,-58.44523595,-34.55953855,AVENIDA,AUTO,MOTO,1
2016-0146,2016-11-09,2016,11,9,20,4,-58.39626094,-34.63036565,AVENIDA,PASAJEROS,PEATON,1
2016-0147,2016-11-16,2016,11,16,21,1,-58.38896772,-34.61799615,AVENIDA,PASAJEROS,MOVIL,1
2016-0148,2016-11-16,2016,11,16,22,15,-58.46536113,-34.59484504,AVENIDA,MOTO,MOTO,1
2016-0150,2016-11-18,2016,11,18,18,4,-58.40879146,-34.65273216,AVENIDA,CARGAS,CARGAS,1
2016-0151,2016-11-18,2016,11,18,20,0,.,.,CALLE,SD,PEATON,1
2016-0152,2016-11-23,2016,11,23,21,7,-58.46451841,-34.64991946,AVENIDA,AUTO,MOTO,1
2016-0153,2016-11-25,2016,11,25,15,15,-58.42917090,-34.59485488,AVENIDA,MOTO,PEATON,1
2016-0154,2016-11-26,2016,11,26,14,8,-58.49007772,-34.68251141,GRAL PAZ,MOTO,MOTO,1
2016-0155,2016-11-26,2016,11,26,16,10,-58.52756365,-34.62772274,CALLE,AUTO,PEATON,1
2016-0156,2016-11-26,2016,11,26,19,3,-58.40638983,-34.61943202,AVENIDA,PASAJEROS,MOTO,1
2016-0157,2016-12-03,2016,12,3,6,11,-58.47576807,-34.61740997,AVENIDA,MOTO,MOTO,1
2016-0159,2016-12-04,2016,12,4,7,8,-58.44451316,-34.68475866,AVENIDA,SD,AUTO,1
2016-0160,2016-12-06,2016,12,6,5,9,-58.51927194,-34.63635787,AUTOPISTA,OBJETO FIJO,CARGAS,1
2016-0161,2016-12-06,2016,12,6,7,14,-58.42525456,-34.57866344,AVENIDA,PASAJEROS,PEATON,1
2016-0162,2016-12-07,2016,12,7,5,15,-58.45396573,-34.58518167,AVENIDA,AUTO,PEATON,1
2016-0163,2016-12-10,2016,12,10,7,11,-58.52340614,-34.59798754,GRAL PAZ,AUTO,MOTO,1
2016-0164,2016-12-11,2016,12,11,6,4,-58.42323628,-34.64119105,AVENIDA,AUTO,AUTO,1
2016-0165,2016-12-12,2016,12,12,8,4,-58.36926144,-34.62841919,AVENIDA,PASAJEROS,BICICLETA,1
2016-0168,2016-12-13,2016,12,13,10,4,-58.42323628,-34.64119105,AVENIDA,AUTO,MOTO,1
2016-0169,2016-12-15,2016,12,15,15,12,-58.47935434,-34.55676497,AVENIDA,PASAJEROS,MOTO,1
2016-0170,2016-12-19,2016,12,19,17,12,-58.50598256,-34.56379980,GRAL PAZ,AUTO,MOTO,1
2016-0171,2016-12-25,2016,12,25,19,1,-58.36607137,-34.62150748,AUTOPISTA,MOTO,MOTO,1
2016-0172,2016-12-26,2016,12,26,8,5,-58.41918902,-34.63174259,AVENIDA,CARGAS,MOTO,1
2016-0173,2016-12-26,2016,12,26,19,7,-58.46749188,-34.63551751,AVENIDA,CARGAS,MOTO,1
2016-0174,2016-12-27,2016,12,27,0,0,.,.,AUTOPISTA,SD,SD,1
2016-0175,2016-12-27,2016,12,27,8,7,-58.46064174,-34.62960517,CALLE,BICICLETA,PEATON,1
2016-0176,2016-12-28,2016,12,28,1,1,-58.36956186,-34.61232875,AVENIDA,PASAJEROS,MOTO,1
2016-0177,2016-12-29,2016,12,29,4,14,-58.40966671,-34.58788235,CALLE,AUTO,PEATON,1
2016-0178,2016-12-30,2016,12,30,16,3,-58.40288226,-34.61544091,CALLE,MULTIPLE,PEATON,1
2017-0001,2017-01-02,2017,1,2,1,11,-58.46594230,-34.61028571,AVENIDA,CARGAS,MOTO,1
2017-0003,2017-01-05,2017,1,5,3,4,-58.38957669,-34.64410277,AVENIDA,CARGAS,CARGAS,1
2017-0007,2017-01-11,2017,1,11,17,1,-58.38161660,-34.61529543,CALLE,MULTIPLE,PEATON,1
2017-0008,2017-01-16,2017,1,16,0,14,-58.43917004,-34.58494351,CALLE,PASAJEROS,MOTO,1
2017-0009,2017-01-16,2017,1,16,13,5,-58.41595919,-34.62743346,AUTOPISTA,CARGAS,MOTO,1
2017-0010,2017-01-16,2017,1,16,16,6,-58.43564880,-34.62828656,AVENIDA,AUTO,MOTO,1
2017-0011,2017-01-22,2017,1,22,2,12,-58.50073810,-34.54979510,GRAL PAZ,OBJETO FIJO,MOTO,1
2017-0012,2017-01-24,2017,1,24,14,4,-58.40969005,-34.65055290,CALLE,CARGAS,MOTO,1
2017-0013,2017-01-27,2017,1,27,7,4,-58.38972622,-34.65098981,AVENIDA,CARGAS,PEATON,1
2017-0014,2017-01-28,2017,1,28,8,12,-58.49185972,-34.55046754,AVENIDA,MULTIPLE,MOTO,1
2017-0015,2017-02-02,2017,2,2,15,2,-58.39293417,-34.59963642,AVENIDA,AUTO,PEATON,1
2017-0016,2017-02-03,2017,2,3,5,1,-58.38099494,-34.62288231,AUTOPISTA,CARGAS,MOTO,1
2017-0017,2017-02-06,2017,2,6,8,14,-58.42901200,-34.58095431,AVENIDA,AUTO,MOTO,1
2017-0018,2017-02-09,2017,2,9,7,9,-58.50877521,-34.66977709,GRAL PAZ,AUTO,MOTO,1
2017-0021,2017-02-18,2017,2,18,5,1,-58.38362373,-34.60509972,CALLE,PASAJEROS,MOTO,1
2017-0024,2017-02-23,2017,2,23,20,7,-58.46589308,-34.62955795,AVENIDA,PASAJEROS,PEATON,1
2017-0025,2017-02-24,2017,2,24,17,7,-58.43614426,-34.65424640,AVENIDA,SD,MOTO,1
2017-0026,2017-02-26,2017,2,26,5,4,-58.41842777,-34.64979057,AVENIDA,OBJETO FIJO,AUTO,1
2017-0026,2017-02-26,2017,2,26,5,4,-58.41842777,-34.64979057,AVENIDA,OBJETO FIJO,AUTO,1
2017-0027,2017-02-26,2017,2,26,21,1,-58.38332245,-34.63193250,AVENIDA,AUTO,PEATON,1
2017-0028,2017-02-28,2017,2,28,9,6,-58.45475488,-34.61196327,AVENIDA,AUTO,PEATON,1
2017-0029,2017-03-07,2017,3,7,2,9,-58.48501341,-34.64742455,CALLE,AUTO,SD,1
2017-0030,2017-03-07,2017,3,7,8,9,-58.47010988,-34.65872088,AVENIDA,PASAJEROS,AUTO,1
2017-0031,2017-03-11,2017,3,11,1,3,-58.40997560,-34.62873635,CALLE,OBJETO FIJO,AUTO,1
2017-0032,2017-03-12,2017,3,12,5,8,-58.48892175,-34.68359163,GRAL PAZ,AUTO,AUTO,1
2017-0033,2017-03-12,2017,3,12,7,11,-58.52466448,-34.60325478,GRAL PAZ,AUTO,AUTO,1
2017-0034,2017-03-13,2017,3,13,7,14,-58.42554218,-34.57929036,CALLE,AUTO,PEATON,1
2017-0035,2017-03-23,2017,3,23,5,1,-58.35881506,-34.61113641,AVENIDA,OBJETO FIJO,AUTO,1
2017-0035,2017-03-23,2017,3,23,5,1,-58.35881506,-34.61113641,AVENIDA,OBJETO FIJO,AUTO,1
2017-0035,2017-03-23,2017,3,23,5,1,-58.35881506,-34.61113641,AVENIDA,OBJETO FIJO,AUTO,1
2017-0036,2017-03-29,2017,3,29,18,12,-58.51452347,-34.58159762,GRAL PAZ,PASAJEROS,MOTO,1
2017-0036,2017-03-29,2017,3,29,18,12,-58.51452347,-34.58159762,GRAL PAZ,PASAJEROS,MOTO,1
2017-0037,2017-03-31,2017,3,31,3,1,-58.38896772,-34.61799615,AVENIDA,CARGAS,MOTO,1
2017-0038,2017-04-01,2017,4,1,19,7,-58.44516857,-34.64363363,AVENIDA,AUTO,MOTO,1
2017-0040,2017-04-03,2017,4,3,9,13,-58.43834197,-34.54560369,AVENIDA,MULTIPLE,AUTO,1
2017-0041,2017-04-03,2017,4,3,23,7,-58.45485084,-34.63531854,CALLE,AUTO,MOTO,1
2017-0042,2017-04-10,2017,4,10,9,14,.,.,GRAL PAZ,CARGAS,MOTO,1
2017-0045,2017-04-14,2017,4,14,6,10,-58.52449285,-34.62454175,CALLE,OBJETO FIJO,MOTO,1
2017-0047,2017-04-23,2017,4,23,6,8,-58.46713742,-34.67198790,AVENIDA,AUTO,MOTO,1
2017-0049,2017-04-27,2017,4,27,18,8,-58.43850413,-34.65554754,AVENIDA,PASAJEROS,PEATON,1
2017-0050,2017-04-28,2017,4,28,11,9,.,.,AUTOPISTA,CARGAS,MOTO,1
2017-0050,2017-04-28,2017,4,28,11,9,.,.,AUTOPISTA,CARGAS,MOTO,1
2017-0051,2017-05-01,2017,5,1,3,7,.,.,AUTOPISTA,AUTO,AUTO,1
2017-0052,2017-05-05,2017,5,5,3,8,-58.49413799,-34.68095739,GRAL PAZ,CARGAS,PEATON,1
2017-0053,2017-05-05,2017,5,5,20,4,-58.37547846,-34.65326075,CALLE,CARGAS,MOTO,1
2017-0054,2017-05-07,2017,5,7,21,15,-58.48680218,-34.58689719,AVENIDA,AUTO,MOTO,1
2017-0055,2017-05-09,2017,5,9,8,12,-58.49563989,-34.57962262,AVENIDA,AUTO,AUTO,1
2017-0058,2017-05-09,2017,5,9,23,1,-58.38403232,-34.59915940,AVENIDA,MOTO,PEATON,1
2017-0059,2017-05-11,2017,5,11,9,1,-58.38223382,-34.62693865,CALLE,PASAJEROS,PEATON,1
2017-0060,2017-05-13,2017,5,13,7,8,-58.45966521,-34.67323292,AVENIDA,OBJETO FIJO,MOTO,1
2017-0061,2017-05-15,2017,5,15,13,2,-58.39303911,-34.59871111,AVENIDA,MOTO,PEATON,1
2017-0062,2017-05-15,2017,5,15,16,10,-58.51262106,-34.63395999,AVENIDA,CARGAS,MOTO,1
2017-0063,2017-05-17,2017,5,17,10,1,-58.38118367,-34.61646839,AVENIDA,PASAJEROS,PEATON,1
2017-0064,2017-05-20,2017,5,20,5,1,-58.37653284,-34.60582475,CALLE,AUTO,CARGAS,1
2017-0065,2017-05-22,2017,5,22,16,4,-58.37709334,-34.64035082,AVENIDA,CARGAS,BICICLETA,1
2017-0066,2017-05-22,2017,5,22,18,15,-58.46002142,-34.60409469,AVENIDA,PASAJEROS,PEATON,1
2017-0067,2017-05-23,2017,5,23,2,6,-58.43381970,-34.62801894,AVENIDA,CARGAS,MOTO,1
2017-0068,2017-05-27,2017,5,27,19,8,-58.43580656,-34.66437532,AVENIDA,OBJETO FIJO,MOTO,1
2017-0069,2017-05-24,2017,5,24,14,9,-58.52173071,-34.65997463,GRAL PAZ,SD,MOTO,1
2017-0070,2017-05-30,2017,5,30,13,11,-58.50791763,-34.59804273,CALLE,AUTO,PEATON,1
2017-0072,2017-06-03,2017,6,3,23,12,-58.49175088,-34.58226957,AVENIDA,AUTO,AUTO,1
2017-0073,2017-06-04,2017,6,4,9,3,-58.40781467,-34.60425669,AVENIDA,AUTO,MOTO,1
2017-0074,2017-06-04,2017,6,4,12,9,-58.52567073,-34.63787791,CALLE,SD,SD,1
2017-0075,2017-06-12,2017,6,12,22,1,-58.38154200,-34.60906385,AVENIDA,MOTO,PEATON,1
2017-0076,2017-06-13,2017,6,13,14,2,-58.38526125,-34.57805810,AVENIDA,CARGAS,PEATON,1
2017-0077,2017-06-17,2017,6,17,23,14,-58.42934104,-34.58451712,CALLE,CARGAS,MOTO,1
2017-0079,2017-06-19,2017,6,19,16,3,-58.40657493,-34.61781124,CALLE,CARGAS,MOTO,1
2017-0080,2017-06-22,2017,6,22,10,9,-58.49525314,-34.64487785,AVENIDA,CARGAS,PEATON,1
2017-0082,2017-06-25,2017,6,25,22,4,-58.39092851,-34.62932696,AVENIDA,AUTO,PEATON,1
2017-0083,2017-07-04,2017,7,4,0,9,-58.49603546,-34.64564271,AVENIDA,CARGAS,MOTO,1
2017-0084,2017-07-05,2017,7,5,12,2,-58.38502878,-34.58703485,AVENIDA,PASAJEROS,PEATON,1
2017-0085,2017-07-07,2017,7,7,14,4,-58.37261143,-34.63150425,AVENIDA,PASAJEROS,PEATON,1
2017-0086,2017-07-09,2017,7,9,7,9,-58.51876802,-34.63905965,AVENIDA,MOTO,PEATON,1
2017-0087,2017-07-10,2017,7,10,10,3,-58.41095567,-34.61516101,CALLE,AUTO,PEATON,1
2017-0088,2017-07-10,2017,7,10,22,1,-58.36797542,-34.62519403,AVENIDA,PASAJEROS,PEATON,1
2017-0089,2017-07-13,2017,7,13,12,9,-58.51514709,-34.64787051,CALLE,AUTO,SD,1
2017-0090,2017-07-15,2017,7,15,5,11,-58.51925642,-34.59171721,GRAL PAZ,AUTO,PEATON,1
2017-0091,2017-07-15,2017,7,15,13,12,-58.48671535,-34.54321216,GRAL PAZ,SD,MOTO,1
2017-0092,2017-07-24,2017,7,24,22,1,-58.38268809,-34.62282019,AUTOPISTA,AUTO,PEATON,1
2017-0093,2017-07-25,2017,7,25,16,13,-58.43633522,-34.54966288,AUTOPISTA,AUTO,PEATON,1
2017-0094,2017-07-27,2017,7,27,8,10,-58.52640838,-34.61765855,CALLE,CARGAS,BICICLETA,1
2017-0095,2017-08-06,2017,8,6,8,14,-58.41894306,-34.59778875,AVENIDA,AUTO,MOTO,1
2017-0096,2017-08-07,2017,8,7,19,13,-58.46756026,-34.54972741,AVENIDA,PASAJEROS,PEATON,1
2017-0098,2017-08-08,2017,8,8,12,7,-58.45715752,-34.63132912,CALLE,AUTO,PEATON,1
2017-0099,2017-08-17,2017,8,17,19,14,-58.42406784,-34.56213916,AVENIDA,AUTO,BICICLETA,1
2017-0100,2017-08-21,2017,8,21,7,3,-58.39674470,-34.61512051,CALLE,OBJETO FIJO,MOTO,1
2017-0101,2017-08-23,2017,8,23,10,13,-58.44537508,-34.57084818,AVENIDA,MULTIPLE,PEATON,1
2017-0102,2017-08-24,2017,8,24,1,4,-58.40056767,-34.65107080,AVENIDA,CARGAS,PEATON,1
2017-0104,2017-08-25,2017,8,25,9,1,-58.38109568,-34.61853244,AVENIDA,CARGAS,PEATON,1
2017-0106,2017-08-31,2017,8,31,19,14,-58.42533612,-34.58035258,CALLE,PASAJEROS,PEATON,1
2017-0107,2017-09-01,2017,9,1,11,13,-58.46062311,-34.54395182,AVENIDA,CARGAS,MOTO,1
2017-0108,2017-09-02,2017,9,2,4,12,-58.49491054,-34.54795581,GRAL PAZ,AUTO,AUTO,1
2017-0108,2017-09-02,2017,9,2,4,12,-58.49491054,-34.54795581,GRAL PAZ,AUTO,AUTO,1
